teamID;W;L;R;Avg;2B;3B;HR;BB;SO;SB;RA;ERA;CG;SV;HA;HRA;BBA;SOA;E
LAN2008;84;78;700;0.264257174;271;29;137;543;1032;126;648;3.68;5;35;1381;123;480;1205;101
MIL2008;90;72;750;0.2525745257;324;35;198;550;1203;108;689;3.87;12;45;1415;175;528;1110;101
NYN2008;89;73;799;0.2659650375;274;38;172;619;1024;138;715;4.07;5;43;1415;163;590;1181;83
PHI2008;92;70;799;0.2554002541;291;36;214;586;1117;136;680;3.89;4;47;1444;160;533;1081;90
PIT2008;67;95;735;0.2583511016;314;21;153;474;1039;57;884;5.1;3;34;1631;176;657;963;107
SDN2008;63;99;637;0.2496408046;264;27;154;518;1259;36;764;4.41;3;30;1466;165;561;1100;85
SFN2008;72;90;640;0.2619520115;311;37;94;452;1044;108;759;4.38;4;41;1416;147;652;1240;96
SLN2008;86;76;779;0.2812278211;283;26;174;577;985;73;725;4.2;2;42;1517;163;496;957;85
WAS2008;59;102;641;0.2505918776;269;26;117;534;1095;81;825;4.66;2;28;1496;190;588;1063;123
BAL2009;64;98;741;0.2684229263;307;19;160;517;1013;76;876;5.16;2;31;1633;218;546;933;108
BOS2009;95;67;872;0.2697095436;335;25;212;659;1120;126;736;4.35;8;41;1494;167;530;1230;92
CHA2009;79;83;724;0.2580999451;246;20;184;534;1022;113;732;4.16;4;36;1438;169;507;1119;128
CLE2009;65;97;773;0.2636494253;314;28;161;582;1211;84;865;5.07;5;25;1570;183;598;986;114
DET2009;86;77;743;0.2604693141;245;35;183;540;1114;72;745;4.34;4;42;1449;182;594;1102;106
KCA2009;65;97;686;0.258857556;276;51;144;457;1091;88;842;4.83;10;34;1486;166;600;1153;127
LAA2009;97;65;883;0.2853077197;293;33;173;547;1054;148;761;4.45;9;51;1513;180;523;1062;99
MIN2009;87;76;817;0.2744293866;271;40;172;585;1021;85;765;4.5;4;48;1542;185;466;1052;89
NYA2009;103;59;915;0.2833922261;325;21;244;663;1014;111;753;4.28;3;51;1386;181;574;1260;101
OAK2009;75;87;759;0.2621776504;307;21;135;527;1046;133;761;4.29;2;38;1486;156;523;1124;121
SEA2009;85;77;640;0.2579830417;280;19;160;421;1093;89;692;3.87;4;49;1359;172;534;1043;120
TBA2009;84;78;803;0.2625411937;297;36;199;642;1229;194;754;4.36;3;41;1421;183;515;1125;111
TEX2009;87;75;784;0.2598624683;296;27;224;472;1253;149;740;4.38;8;45;1432;171;531;1016;120
TOR2009;75;87;798;0.2661516854;339;13;209;548;1028;73;771;4.47;10;25;1509;181;551;1181;88
ARI2009;70;92;720;0.2530098832;307;45;173;571;1298;102;782;4.44;4;36;1470;168;525;1158;151
ATL2009;86;76;735;0.2634049467;300;20;149;602;1064;58;641;3.57;3;38;1399;119;530;1232;107
CHN2009;83;78;707;0.2548304776;293;29;161;592;1185;56;672;3.84;3;40;1329;160;586;1272;127
CIN2009;78;84;673;0.2469791285;280;25;158;531;1129;96;723;4.18;6;41;1420;188;577;1069;104
COL2009;92;70;804;0.2608373472;300;50;190;660;1277;106;715;4.24;5;45;1427;141;528;1154;103
FLO2009;87;75;772;0.2679468772;296;25;159;568;1226;75;766;4.32;5;45;1425;160;601;1248;118
HOU2009;74;88;643;0.2603016924;270;32;142;448;990;113;770;4.54;5;39;1521;176;546;1144;88
LAN2009;95;67;780;0.2702074392;278;39;145;607;1068;116;611;3.41;1;44;1265;127;584;1272;97
MIL2009;80;82;785;0.2626134301;281;37;182;610;1231;68;818;4.84;1;44;1498;207;607;1104;111
NYN2009;70;92;671;0.2699431506;295;49;95;526;928;122;757;4.46;3;39;1452;158;616;1031;108
PHI2009;93;69;820;0.2579777698;312;35;224;589;1155;119;709;4.16;8;44;1479;189;489;1153;86
PIT2009;62;99;636;0.2517998892;289;34;125;499;1142;90;768;4.59;5;28;1491;152;563;919;80
SDN2009;75;87;638;0.2423963134;265;31;141;586;1182;82;769;4.37;2;45;1422;167;603;1187;109
SFN2009;88;74;657;0.256872383;275;43;122;392;1158;78;611;3.55;11;41;1268;140;584;1302;99
SLN2009;91;71;730;0.2627630375;294;29;160;528;1041;75;640;3.66;8;43;1407;123;460;1049;113
WAS2009;59;103;710;0.2577826324;271;38;156;617;1208;73;874;5.02;6;33;1533;173;629;911;170
BAL2010;66;96;613;0.2592725963;264;21;133;424;1056;76;785;4.59;3;35;1508;186;520;1007;123
BOS2010;89;73;818;0.267623096;358;22;211;587;1140;68;744;4.2;3;44;1402;152;580;1207;127
CHA2010;88;74;752;0.2675054705;263;21;177;467;922;160;704;4.09;6;43;1471;136;490;1149;120
CLE2010;69;93;646;0.2482230727;290;20;128;545;1184;91;752;4.3;10;34;1477;147;572;967;126
DET2010;81;81;751;0.2684742158;308;32;152;546;1147;69;743;4.3;6;32;1445;142;537;1056;136
KCA2010;67;95;676;0.2737330478;279;31;121;471;905;115;845;4.97;7;44;1553;176;551;1035;138
LAA2010;80;82;681;0.2483600583;276;19;155;466;1070;104;702;4.04;10;39;1422;148;565;1130;131
MIN2010;94;68;781;0.2731681034;318;41;142;559;967;68;671;3.95;9;40;1493;155;383;1048;94
NYA2010;95;67;859;0.266750494;275;32;201;662;1136;103;693;4.06;3;39;1349;179;540;1154;79
OAK2010;81;81;663;0.2562408223;276;30;109;527;1061;156;626;3.58;7;38;1315;153;512;1070;110
SEA2010;61;101;513;0.2355333703;227;16;101;459;1184;142;698;3.95;11;38;1402;157;452;973;122
TBA2010;96;66;802;0.2469203898;295;37;160;672;1292;172;649;3.78;6;51;1347;175;478;1189;95
TEX2010;90;72;787;0.2761313221;268;25;162;511;986;123;687;3.93;7;46;1355;162;551;1181;123
TOR2010;85;77;755;0.2482256597;319;21;257;471;1164;58;728;4.23;5;45;1407;150;539;1184;102
ARI2010;65;97;713;0.2495888909;301;34;180;589;1529;86;836;4.81;3;35;1503;210;548;1070;121
ATL2010;91;71;738;0.2582829947;312;25;139;634;1140;63;629;3.57;2;41;1326;126;505;1241;145
CHN2010;75;87;685;0.2565312046;298;27;149;479;1236;55;767;4.24;1;40;1409;154;605;1268;144
CIN2010;91;71;790;0.2715540419;293;30;188;522;1218;93;685;4.02;4;43;1404;158;524;1130;86
COL2010;83;79;770;0.2625678119;270;54;173;585;1274;99;717;4.14;6;35;1405;139;525;1234;113
FLO2010;80;82;719;0.2536611824;294;37;152;514;1375;92;717;4.09;5;39;1433;134;549;1168;141
HOU2010;76;86;611;0.2472487161;252;25;108;415;1025;100;729;4.09;4;45;1446;140;548;1210;118
LAN2010;80;82;667;0.252119425;270;29;120;533;1184;92;692;4.01;4;41;1323;134;539;1274;114
MIL2010;77;85;750;0.2623974313;293;33;182;546;1216;81;804;4.59;3;35;1487;173;582;1258;115
NYN2010;79;83;656;0.2490393413;266;40;128;502;1095;130;652;3.73;8;36;1438;135;545;1106;96
PHI2010;97;65;772;0.2599892492;290;34;166;560;1064;108;640;3.68;14;40;1402;168;416;1183;93
PIT2010;57;105;587;0.2419235054;276;27;126;463;1207;87;866;5;1;31;1567;167;538;1026;142
SDN2010;90;72;665;0.2462274568;236;24;132;538;1183;124;581;3.41;2;49;1305;139;517;1295;85
SFN2010;92;70;697;0.257106414;284;30;162;487;1099;55;583;3.36;6;57;1279;134;578;1331;80
SLN2010;86;76;736;0.2627210393;285;18;150;541;1027;79;641;3.57;7;32;1412;133;477;1094;109
WAS2010;69;93;655;0.250092285;250;31;149;503;1220;110;742;4.13;2;37;1469;151;512;1068;142
